Index Change,Ticker,Announced,Trade Date,Action,Last Px,Sector,Shs to Trade,$MM to Trade,ADV to Trade,Comments,Unnamed: 11
MSCI SC,RC US,2023-05-25,2023-05-31,Upweight,10.52,Financials,-,-,-,RC acq for 0.4723 shares of RC per BRMK held,
Russell 2000,MGI US,2023-05-24,2023-05-31,Delete,10.97,Financials,-13543421,-148.6,-3.11,Acq for $11 per share in cash,
Russell 2000,HASI US,2023-05-25,2023-05-30,Upweight,22.91,Financials,1841923,42.2,2.07,Equity Offering,
Russell 1000,RNR US,2023-05-24,2023-05-30,Upweight,192,Financials,254240,48.8,0.53,Equity Offering,
SP600,USPH US,2023-05-25,2023-05-26,Upweight,97.16,Health Care,224245,21.8,1.95,Equity Offering,
SP500,XYL US,2023-05-24,2023-05-25,Upweight,101.06,Industrials,10187380,1029.5,5.36,XYL acq AQUA for 0.48 XYL per AQUA held. Deal has closed.,
SP400,RNR US,2023-05-24,2023-05-25,Upweight,192,Financials,714731,137.2,1.5,Equity Offering,
SP500,XYL US,2023-05-23,2023-05-25,Upweight,104.14,Industrials,10187380,1060.9,5.66,XYL acq AQUA for 0.48 XYL per AQUA held. Deal has closed.,
Russell 1000,GH US,2023-05-23,2023-05-25,Upweight,29.79,Health Care,531900,15.8,0.28,Equity Offering,
Russell 1000,RYAN US,2023-05-23,2023-05-25,Upweight,41.66,Financials,401400,16.7,0.66,Equity Offering,
Russell 1000,USFD US,2023-05-23,2023-05-25,Upweight,39.89,Consumer Staples,510637,20.4,0.26,Equity Offering,
Russell 1000,GTES US,2023-05-23,2023-05-25,Upweight,11.53,Industrials,455768,5.3,0.22,Equity Offering,
MSCI Std,XYL US,2023-05-23,2023-05-25,Upweight,104.14,Industrials,1478093,153.9,0.82,XYL acq AQUA for 0.48 XYL per AQUA held. Deal has closed.,
MSCI SC,AQUA US,2023-05-23,2023-05-25,Delete,49.88,Industrials,-,-,-,XYL acq AQUA for 0.48 XYL per AQUA held. Deal has closed.,
SP400,USFD US,2023-05-23,2023-05-24,Upweight,39.89,Consumer Staples,1628165,64.9,0.84,Equity Offering,
MSCI SC,OSW US,2023-05-19,2023-05-23,Upweight,10.84,Consumer Discretionary,230477,2.5,0.39,Equity Offering,
Russell 1000,NYCB US,2023-05-18,2023-05-22,Upweight,11,Financials,1436378,15.8,0.09,Equity Offering,
MSCI SC,SEAT US,2023-05-18,2023-05-22,Upweight,7.65,Communication Services,193275,1.5,0.33,Equity Offering,
MSCI SC,EVGO US,2023-05-18,2023-05-22,Upweight,4.16,Consumer Discretionary,527240,2.2,0.22,Equity Offering,
SP400,NYCB US,2023-05-18,2023-05-19,Upweight,11,Financials,4281810,47.1,0.26,Equity Offering,
Russell 1000,AZEK US,2023-05-17,2023-05-19,Upweight,24.78,Industrials,470672,11.7,0.28,Equity Offering,
Russell 1000,RE US,2023-05-17,2023-05-19,Upweight,369,Financials,138960,51.3,0.43,Equity Offering,
MSCI Std,RE US,2023-05-17,2023-05-19,Upweight,369,Financials,93073,34.3,0.29,Equity Offering,
MSCI SC,HESM US,2023-05-17,2023-05-19,Upweight,27.55,Energy,166500,4.6,0.29,Equity Offering,
SP500,RE US,2023-05-17,2023-05-18,Upweight,369,Financials,645933,238.3,2,Equity Offering,
Russell 1000,AGL US,2023-05-16,2023-05-18,Upweight,23.01,Health Care,3132167,72.1,0.97,Equity Offering,
MSCI SC,CHRS US,2023-05-16,2023-05-18,Upweight,5.18,Health Care,312964,1.6,0.21,Equity Offering,
MSCI SC,AGL US,2023-05-16,2023-05-18,Upweight,23.01,Health Care,1465649,33.7,0.45,Equity Offering,
MSCI SC,DCO US,2023-05-16,2023-05-18,Upweight,41.17,Industrials,19640,0.8,0.23,Equity Offering,
SP600,NOG US,2023-05-16,2023-05-17,Upweight,30.22,Energy,880974,26.6,0.63,Equity Offering,
MSCI SC,HLMN US,2023-05-15,2023-05-17,Upweight,8.03,Industrials,437571,3.5,0.36,Equity Offering,
MSCI SC,ANIP US,2023-05-12,2023-05-16,Upweight,41.67,Health Care,26571,1.1,0.25,Equity Offering,
MSCI SC,DSGR US,2023-05-12,2023-05-15,Upweight,46.99,Industrials,7639,0.4,0.29,Rights Offering,
MSCI SC,SICP US,2023-05-11,2023-05-12,Delete,1.25,Financials,-474879,-0.6,-0.13,Delisting,
Russell 2000,TA US,2023-05-09,2023-05-12,Delete,86.05,Consumer Discretionary,-1823058,-156.9,-5.69,Acquired by BP PLC ($86/share),
MSCI SC,TA US,2023-05-08,2023-05-12,Delete,86.01,Consumer Discretionary,-200529,-17.2,-0.61,Acquisitio,
Russell 2000,SUMO US,2023-05-08,2023-05-11,Delete,12.03,Information Technology,-16534314,-198.9,-7.24,Acquisition,
MSCI SC,SUMO US,2023-05-08,2023-05-11,Delete,12.03,Information Technology,-1333652,-16,-0.58,Acquisition,
MSCI SC,IMGN US,2023-05-08,2023-05-10,Upweight,13.34,Health Care,300461,4,0.03,Equity Offering,
Russell 2000,IMGN US,2023-05-05,2023-05-09,Upweight,13.17,Health Care,3581977,47.2,0.42,Equity Offering,
MSCI SC,PRVA US,2023-05-05,2023-05-09,Upweight,29.09,Health Care,448793,13.1,0.35,Equity Offering,
MSCI SC,FDMT US,2023-05-05,2023-05-09,Upweight,16.94,Health Care,160488,2.7,0.27,Equity Offering,
MSCI SC,SIBN US,2023-05-05,2023-05-09,Upweight,22.03,Health Care,82437,1.8,0.21,Equity Offering,
Russell 2000,PRVA US,2023-05-04,2023-05-08,Upweight,27.43,Health Care,5945772,163.1,5.59,EQUITY OFFERING,
MSCI SC,MORF US,2023-05-03,2023-05-05,Upweight,51.19,Health Care,87169,4.5,0.13,Equity Offering,
SP500,FRC US,2023-05-01,2023-05-03,Delete,3.51,Financials,-32270681,-113.3,-0.46,Deleted following FDIC receivership. If not trading on either primary exchange or OTC on removal date will be removed at $0,
SP500,AXON US,2023-05-01,2023-05-03,SP400 to SP500,216,Industrials,11790617,2546.8,18.49,Moved from SP400,
SP400,AXON US,2023-05-01,2023-05-03,SP400 to SP500,216,Industrials,-7423221,-1603.4,-11.64,Moved to SP500,
S&P Completion,AXON US,2023-05-01,2023-05-03,Delete,216,Industrials,-1690169,-365.1,-2.65,Removal following addition to the SP500,
SP400,STAG US,2023-05-01,2023-05-03,Add,33.65,Real Estate,19668060,661.8,16.14,Replaces AXON in the SP400,
Russell 2000,JNCE US,2023-05-01,2023-05-03,Delete,1.92,Health Care,-6084624,-11.7,-2.77,Acq for $1.85 plus a CVR per share.,
MSCI SC,MAXR US,2023-05-01,2023-05-03,Delete,52.98,Industrials,-1118423,-59.3,-1.08,Acq for $53 per share in cash,
Russell 2000,MAXR US,2023-05-01,2023-05-02,Delete,52.98,Industrials,-10621957,-562.8,-10.28,Acq for $53 per share in cash,
MSCI Std,FRC US,2023-05-01,2023-05-02,Delete,3.51,Financials,-4573134,-16.1,-0.06,Deleted following FDIC receivership,
MSCI SC,PEBO US,2023-04-28,2023-05-02,Upweight,26.06,Financials,63952,1.7,0.45,Acq LMST for 0.9 shares of PEBO per LMST held,
MSCI SC,OSH US,2023-04-27,2023-05-01,Delete,38.96,Health Care,-1639682,-63.9,-0.28,CVS acq OSH for $39 per share in cash.,
MSCI SC,PRVB US,2023-04-27,2023-05-01,Delete,24.98,Health Care,-,-,-,Acq for $25 per share in cash. Deal has closed,
Russell 1000,OSH US,2023-04-25,2023-05-01,Delete,38.95,Health Care,-4277411,-166.6,-0.71,Acq for $39 per share in cash.,
Russell 2000,INKT US,2023-04-25,2023-05-01,Delete,2.1,Health Care,-616077,-1.3,-23.84,Deletion following stock distribution to shareholders of AGEN,
Russell 2000,CSII US,2023-04-27,2023-04-28,Delete,20,Health Care,-5760922,-115.2,-9.78,ABT acq CSII for $20.00 per share in cash.,
Russell 2000,PEBO US,2023-04-27,2023-04-28,Upweight,26.26,Financials,671341,17.6,5.48,Acq LMST for 0.9 shares of PEBO per LMST held.,
SP600,CSII US,2023-04-25,2023-04-28,Delete,19.99,Health Care,-5849085,-116.9,-9.4,"Acq for $20 per share in cash, subject to shareholder approval on April 27, 2023.",
SP600,CTKB US,2023-04-25,2023-04-28,Add,9.57,Health Care,10811057,103.5,15.68,Replaces CSII in the SP600,
MSCI SC,CSII US,2023-04-25,2023-04-27,Delete,19.99,Health Care,-628234,-12.6,-1.01,"Acq for $20 per share in cash, subject to shareholder approval on April 27, 2023.",
MSCI SC,IDYA US,2023-04-25,2023-04-27,Upweight,18.64,Health Care,130935,2.4,0.17,Equity Offering,
Russell 2000,PCVX US,2023-04-19,2023-04-21,Upweight,45.79,Health Care,1409154,64.5,1.3,Equity Offering,
MSCI SC,PCVX US,2023-04-19,2023-04-21,Upweight,45.79,Health Care,197087,9,0.18,Equity Offering,
MSCI SC,MSGE-W US,2023-04-18,2023-04-21,Add,32.7,Communication Services,-,-,-,Spun off from MSGE. Shareholders to receive 1 share of MSGE-W per MSGE held.,
Russell 2000,TIG US,2023-04-18,2023-04-20,Delete,6.16,Financials,-3263624,-20.1,-11.62,Acq for $6.15 per share in cash. Exp LDOT 4/20,
Russell 2000,MSGE-W US,2023-04-17,2023-04-20,Add,32,Communication Services,-,-,-,Spun off from MSGE. Shareholders to receive 1 share of MSGE-W per MSGE held.,
MSCI SC,MMAT US,2023-04-14,2023-04-18,Upweight,0.23,Information Technology,1769803,0.4,0.14,Public offering,
MSCI SC,KRUS US,2023-04-11,2023-04-13,Upweight,72.97,Consumer Discretionary,15667,1.1,0.06,Equity Offering,
MSCI SC,PTGX US,2023-04-05,2023-04-10,Upweight,18.02,Health Care,121820,2.2,0.05,Equity Offering,
SP600,CORT US,2023-04-03,2023-04-04,Downweight,22.51,Health Care,-775352,-17.5,-0.76,"Dutch buy back offer of 6,630,151 shares at $22.00 USD.",
MSCI SC,CR-W US,2023-03-31,2023-04-04,Add,74.6,Health Care,-,,-,CR will change its ticker to CXT and spin off a newco trading under legacy ticker CR to shareholders for 1 new CR share for every old CR share held.,
SP400,PACW US,2023-03-29,2023-04-04,Delete,9.86,Financials,-12913994,-127.3,-0.62,Moved to SP600,
SP600,PACW US,2023-03-29,2023-04-04,Add,9.86,Financials,16410307,161.8,0.79,Moved from SP400,
SP600,NKTR US,2023-03-29,2023-04-04,Delete,0.73,Health Care,-25479044,-18.5,-6.38,Discretionary Removal,
MSCI SC,VKTX US,2023-03-31,2023-04-03,Upweight,16.65,Health Care,256123,4.3,0.04,Equity Offering,
SP400,CR-W US,2023-03-29,2023-04-03,Add,72,Industrials,-,-,-,CR will change its ticker to CXT and spin off a newco trading under legacy ticker CR to shareholders for 1 new CR share for every old CR share held.,
Russell 1000,CR-W US,2023-03-29,2023-04-03,Add,72,Industrials,-,-,-,CR will change its ticker to CXT and spin off a newco trading under legacy ticker CR to shareholders for 1 new CR share for every old CR share held.,
SP600,STHOV US,2023-03-28,2023-03-31,Delete,20,Real Estate,-1851970,-37,,Non Zero Price Spin-off Removal,
SP600,SAFE US,2023-03-28,2023-03-31,Upweight,28.71,Real Estate,-,-,-,SAFE will acquire the remaining business of STAR following spinoff of STHO. STAR shareholders will receive 1 share of SAFE for every post-split share held.,
SP600,STAR US,2023-03-28,2023-03-31,Delete,7.22,Real Estate,-,-,-,SAFE will acquire the remaining business of STAR following spinoff of STHO. STAR shareholders will receive 1 share of SAFE for every post-split share held.,
SP600,NABL US,2023-03-28,2023-03-31,Add,12.15,Information Technology,8955688,108.8,25.62,Replaces STAR in the SP600,
SP600,STHOV US,2023-03-28,2023-03-30,Add,20,Real Estate,-,-,-,Spin-off from STAR at .153:1 distribution ratio.,
MSCI SC,SAFE US,2023-03-28,2023-03-30,Upweight,28.71,Real Estate,197318,5.7,0.69,Continuation of post-merger STAR/SAFE - as SAFE deemed accounting acquirer.,
MSCI SC,STAR US,2023-03-28,2023-03-30,Delete,7.22,Real Estate,-1280598,-9.2,-0.85,Removal of STAR upon acquisition by SAFE and following distribution of STHO.,
Russell 2000,SAFE US,2023-03-27,2023-03-30,Upweight,29.04,Real Estate,-,-,-,Continuation of post-merger STAR/SAFE - as SAFE deemed accounting acquirer.,
Russell 2000,STAR US,2023-03-27,2023-03-30,Delete,7.25,Real Estate,-,-,-,"STAR will spin off STHO, currently trading under STHOV, at a ratio of .153:1. Immediately after distribution, Russell will effect a :153:1 reverse split on STAR, and then consolidate the security into the line for SAFE to reflect their merger and SAFE's standing as the accounting acquirer in the transaction.",
Russell 2000,STHOV US,2023-03-27,2023-03-30,Add,,Real Estate,-,-,-,Spin-off from STAR at .153:1 distribution ratio.,
Russell 2000,VLTA US,2023-03-24,2023-03-30,Delete,0.85,Consumer Discretionary,-18305269,-15.6,-8.45,Acquired for $0.86 per share in cash.,
MSCI SC,DCT US,2023-03-27,2023-03-29,Delete,18.99,Information Technology,-1194660,-22.7,-0.71,Acquired for $19 per share in cash. Exp LDOT 3/30,
MSCI SC,SGFY US,2023-03-27,2023-03-29,Delete,30.47,Health Care,-1070811,-32.6,-0.37,Acquired for $30.50 per share in cash. Exp LDOT 3/28,
Russell 2000,DCT US,2023-03-24,2023-03-29,Delete,18.99,Information Technology,-10701579,-203.2,-6.36,Acquired for $19 per share in cash. Exp LDOT 3/30,
Russell 1000,SGFY US,2023-03-27,2023-03-28,Delete,30.47,Health Care,-3007020,-91.6,-1.05,Acquired for $30.50 per share in cash. Exp LDOT 3/28,
MSCI SC,AIMC US,2023-03-23,2023-03-28,Delete,61.98,Industrials,-,-,-,Acquired for $62 per share in cash. AIMC has been halted.,
MSCI SC,EVOP US,2023-03-24,2023-03-27,Delete,33.99,Financials,-,-,-,Acquired for $34 per share in cash. Deal has closed.,
Russell 2000,EVOP US,2023-03-23,2023-03-24,Delete,33.99,Financials,-6552768,-222.7,-8.24,Acq for $34 per share in cash. EVOP has been halted.,
Russell 2000,KRTX US,2023-03-22,2023-03-24,Upweight,169.47,Health Care,302171,51.2,0.66,Equity Offering,
MSCI SC,ESPR US,2023-03-22,2023-03-24,Upweight,1.46,Health Care,259035,0.4,0.05,Equity Offering,
SP400,SWX US,2023-03-17,2023-03-24,Upweight,60.32,Utilities,360904,21.8,0.64,SWX completed a secondary offering of new shares.,
SP400,ORA US,2023-03-17,2023-03-24,Upweight,80.39,Utilities,409234,32.9,0.78,ORA completed a secondary offering of new shares.,
SP600,DV US,2023-03-17,2023-03-24,Upweight,25.3,Information Technology,1733166,43.8,1.28,Selling shareholders completed a secondary offering of existing shares of DV.,
SP400,IAA US,2023-03-15,2023-03-21,Delete,39.92,Industrials,-14683130,-586.2,-3.98,"RBA CN is to acquire IAA for $12.80 and 0.5252 RBA per IAA held. IAA exp LDOT 3/20. If IAA is suspended before removal, SPDJI will derive the price of IAA as: RBA's NYSE closing price * 0.5252 stock terms + $12.80.",
SP400,EXPO US,2023-03-15,2023-03-21,SP600 to SP400,103.41,Industrials,5558483,574.8,35.21,Moved from SP600,
SP600,EXPO US,2023-03-15,2023-03-21,SP600 to SP400,103.41,Industrials,-6779415,-701.1,-42.94,Moved to SP400,
SP600,CERT US,2023-03-15,2023-03-21,Add,20.56,Health Care,14201572,292,20.65,Replaces EXPO in the SP600,
Russell 2000,BLI US,2023-03-17,2023-03-20,Upweight,1.2,Health Care,1556027,1.9,1.9,Acq ISO for 0.612 BLI per ISO held.,
Russell 1000,RBA US,2023-03-16,2023-03-20,Add,53.6,Industrials,-,-,-,RBA CN is to acquire IAA for $12.80 and 0.5252 RBA per IAA held. IAA exp LDOT 3/20,
Russell 1000,IAA US,2023-03-16,2023-03-20,Delete,40.42,Industrials,-,-,-,RBA CN is to acquire IAA for $12.80 and 0.5252 RBA per IAA held. IAA exp LDOT 3/20,
MSCI SC,IAA US,2023-03-16,2023-03-20,Delete,40.42,Industrials,-2006469,-81.1,-0.53,RBA CN is to acquire IAA for $12.80 and 0.5252 RBA per IAA held. IAA exp LDOT 3/20,
SP600,AAWW US,2023-03-15,2023-03-20,Delete,102.45,Industrials,-3499976,-358.6,-5.51,Acquired for $102.50 per share in cash. 3/17 exp LDOT,
SP600,CVI US,2023-03-15,2023-03-20,Add,28.31,Energy,3935789,111.4,4.92,Replaces AAWW in the SP600,
Russell 2000,ORA US,2023-03-15,2023-03-17,Upweight,82.5,Utilities,445263,36.7,0.93,Equity offering,
Russell 2000,AAWW US,2023-03-15,2023-03-17,Delete,102.45,Industrials,-4045059,-414.4,-6.37,Acquired for $102.50 per share in cash. 3/17 exp LDOT,
MSCI SC,AAWW US,2023-03-15,2023-03-17,Delete,102.45,Industrials,-106366,-10.9,-0.17,Acquired for $102.50 per share in cash. 3/17 exp LDOT,
SP400,ALV,2023-03-06,2023-03-17,Add,95.08,Consumer Discretionary,8483812,806.6,8.2,,
SP400,ARMK,2023-03-06,2023-03-17,Add,37.52,Consumer Discretionary,28789115,1080.2,9.77,,
SP400,AXTA,2023-03-06,2023-03-17,Add,31.05,Materials,24179807,750.8,11.91,,
SP400,CHRD,2023-03-06,2023-03-17,Add,143.97,Energy,4539562,653.6,9.82,,
SP400,HGV,2023-03-06,2023-03-17,Add,47.68,Consumer Discretionary,8660222,412.9,14.46,,
SP400,HTZ,2023-03-06,2023-03-17,Add,18.77,Industrials,17197030,322.8,6.11,,
SP400,SSB,2023-03-06,2023-03-17,Add,79.74,Financials,8259645,658.6,19.89,,
SP400,STWD,2023-03-06,2023-03-17,Add,19.66,Financials,33931746,667.1,15.79,,
SP400,USFD,2023-03-06,2023-03-17,Add,38.67,Consumer Staples,22431404,867.4,15.86,,
SP400,VAL,2023-03-06,2023-03-17,Add,72.21,Energy,6562421,473.9,7.6,,
SP400,WMS,2023-03-06,2023-03-17,Add,89.74,Industrials,6725045,603.5,7.56,,
SP500,FICO,2023-03-06,2023-03-17,SP400 to SP500,705.23,Information Technology,1116806,787.6,5.73,,
SP600,CBRL,2023-03-06,2023-03-17,SP400 to SP600,109.87,Consumer Discretionary,583397,64.1,1.66,,
SP600,DY,2023-03-06,2023-03-17,SP400 to SP600,101.11,Industrials,600963,60.8,1.12,,
SP600,HBI,2023-03-06,2023-03-17,SP400 to SP600,5.82,Consumer Discretionary,9336457,54.3,0.65,,
SP600,JBGS,2023-03-06,2023-03-17,SP400 to SP600,16.06,Real Estate,2628843,42.2,2.11,,
SP600,KMT,2023-03-06,2023-03-17,SP400 to SP600,29.19,Industrials,2089892,61,3.66,,
SP600,PEB,2023-03-06,2023-03-17,SP400 to SP600,14.89,Real Estate,3424428,51,1.53,,
SP600,SLG,2023-03-06,2023-03-17,SP400 to SP600,34.27,Real Estate,1718708,58.9,1.15,,
SP600,TNDM,2023-03-06,2023-03-17,SP400 to SP600,41.61,Health Care,1354869,56.4,1.44,,
SP600,VSAT,2023-03-06,2023-03-17,SP400 to SP600,32.61,Information Technology,2166199,70.6,4.81,,
SP600,WAFD,2023-03-06,2023-03-17,SP400 to SP600,34.45,Financials,1398854,48.2,3.74,,
SP500,LUMN,2023-03-06,2023-03-17,SP500 to SP600,3.17,Communication Services,-21100869,-66.9,-0.6,,
SP600,AUB,2023-03-06,2023-03-17,Add,37.21,Financials,9945210,370.1,36.57,,
SP600,KW,2023-03-06,2023-03-17,Add,16.72,Real Estate,15622667,261.2,31.07,,
SP600,NEX,2023-03-06,2023-03-17,Add,10.06,Energy,21154503,212.8,6.38,,
SP600,RDN,2023-03-06,2023-03-17,Add,21.91,Financials,21474608,470.5,17.06,,
SP600,BBBY,2023-03-06,2023-03-17,Delete,1.49,Consumer Discretionary,-8134597,-12.1,-0.11,,
SP600,FSP,2023-03-06,2023-03-17,Delete,2.42,Real Estate,-13116749,-31.7,-21.89,,
SP600,GPMT,2023-03-06,2023-03-17,Delete,5.97,Financials,-7471781,-44.6,-15.28,,
SP600,HT,2023-03-06,2023-03-17,Delete,8.46,Real Estate,-4695968,-39.7,-16.02,,
SP600,ILPT,2023-03-06,2023-03-17,Delete,4.23,Real Estate,-9358198,-39.6,-11.97,,
SP600,MPAA,2023-03-06,2023-03-17,Delete,13.1,Consumer Discretionary,-2770112,-36.3,-42.44,,
SP600,OPRX,2023-03-06,2023-03-17,Delete,18.4,Health Care,-2344489,-43.1,-18.98,,
SP600,ORGO,2023-03-06,2023-03-17,Delete,2.92,Health Care,-10088151,-29.5,-13.24,,
SP600,PKE,2023-03-06,2023-03-17,Delete,15.76,Industrials,-2668965,-42.1,-27.97,,
SP600,PNTG,2023-03-06,2023-03-17,Delete,15.58,Health Care,-4022230,-62.7,-33.93,,
SP600,SRDX,2023-03-06,2023-03-17,Delete,23.16,Health Care,-1918131,-44.4,-23.74,,
SP600,UEIC,2023-03-06,2023-03-17,Delete,12.14,Consumer Discretionary,-1719600,-20.9,-18.23,,
SP600,UIS,2023-03-06,2023-03-17,Delete,4.88,Information Technology,-9672874,-47.2,-18.11,,
SP600,WW,2023-03-06,2023-03-17,Delete,4.25,Consumer Discretionary,-7650568,-32.5,-5.26,,
SP600,ZIMV,2023-03-06,2023-03-17,Delete,6.22,Health Care,-2978767,-18.5,-4.84,,
Russell 2000,ACRV,2023-02-27,2023-03-17,Add,21,Health Care,1438944,30.2,37.61,,
Russell 2000,MLYS,2023-02-27,2023-03-17,Add,19.14,Health Care,2057146,39.4,13.21,,
Russell 2000,NXT,2023-02-27,2023-03-17,Add,33.35,Industrials,5045479,168.3,5.31,,
Russell 2000,SKWD,2023-02-27,2023-03-17,Add,20.25,Financials,1740347,35.2,12.02,,
MSCI SC,CWAN US,2023-03-13,2023-03-15,Upweight,14.15,Information Technology,516308,7.3,0.58,Equity Offering,
SP500,BG US,2023-03-13,2023-03-14,Add,91.39,Consumer Staples,26063253,2381.9,24.38,Replaces Signature Bank in the SP500,
S&P Completion,BG US,2023-03-13,2023-03-14,Delete,91.39,Consumer Staples,-2996000,-273.8,-2.8,Replaces Signature Bank in the SP500,
SP500,SBNY US,2023-03-13,2023-03-14,Delete,70,Financials,-,-,-,The FDIC has taken SBNY into receivership and as such it will be removed from the SP500,
SP500,SIVB US,2023-03-10,2023-03-14,Delete,106.04,Financials,-10266365,-1088.6,-5.21,"SIVB will be deleted from the S&P DJ indices. Currently frozen at last sale in index calculations. Based on trading status, the price used for deletion will be as follows: 1. Closing market price on its primary exchange on the day it is removed 2. OTC market price 3. Zero price.",
SP500,PODD US,2023-03-10,2023-03-14,Add,280.36,Health Care,12111906,3395.7,26.02,Replaces SIVB in the SP500,
S&P Completion,PODD US,2023-03-10,2023-03-14,Delete,280.36,Health Care,-1388980,-389.4,-2.98,Deleted from S&P Completion Index concurrent with SP500 inclusion.,
MSCI SC,PTLO US,2023-03-10,2023-03-14,Upweight,19.12,Consumer Discretionary,75143,1.4,0.09,Equity Offering,
MSCI SC,STGW US,2023-03-10,2023-03-14,Upweight,6.6,Communication Services,196178,1.3,0.19,Equity Offering,
Russell 2000,SHLS US,2023-03-08,2023-03-10,Upweight,24.27,Industrials,3422929,83.1,1.25,Equity Offering,
Russell 1000,DV US,2023-03-08,2023-03-10,Upweight,26.45,Information Technology,544825,14.4,0.25,Equity Offering,
Russell 2000,PR US,2023-03-08,2023-03-10,Upweight,11.16,Energy,3919597,43.7,0.47,Equity Offering,
MSCI SC,SHLS US,2023-03-08,2023-03-10,Upweight,24.27,Industrials,502392,12.2,0.18,Equity Offering,
Russell 2000,BMBL US,2023-03-07,2023-03-09,Upweight,20.69,Communication Services,2001854,41.4,0.72,Equity Offering,
MSCI SC,BMBL US,2023-03-07,2023-03-09,Upweight,20.69,Communication Services,367440,7.6,0.13,Equity Offering,
MSCI SC,MYOV US,2023-03-07,2023-03-09,Delete,26.97,Health Care,-653419,-17.6,-0.67,Acquired for $27.00 per share in cash. 3/9 exp LDOT,
MSCI SC,VVNT US,2023-03-07,2023-03-09,Delete,11.99,Consumer Discretionary,-640147,-7.7,-0.24,Acquired for $12.00 per share in cash. 3/9 exp LDOT,
Russell 2000,VVNT US,2023-03-06,2023-03-09,Delete,12,Consumer Discretionary,-13565877,-162.8,-4.92,Acquired for $12.00 per share in cash.,
Russell 2000,RVMD US,2023-03-03,2023-03-07,Upweight,25.45,Health Care,1662091,42.3,1.31,Equity Offering,
MSCI SC,RVMD US,2023-03-03,2023-03-07,Upweight,25.45,Health Care,239137,6.1,0.19,Equity Offering,
Russell 2000,ALIT US,2023-03-02,2023-03-06,Upweight,9.57,Industrials,6564376,62.8,1.84,Equity Offering,
Russell 2000,OPCH US,2023-03-02,2023-03-06,Upweight,32.07,Health Care,1501216,48.1,1.21,Equity Offering,
MSCI SC,ALBO US,2023-03-02,2023-03-06,Delete,44.15,Health Care,-,-,-,Acquired - deal has closed,
SP400,OPCH US,2023-03-02,2023-03-03,Upweight,32.07,Health Care,1398091,44.8,1.13,Equity Offering,
Russell 1000,AWK US,2023-03-01,2023-03-03,Upweight,138.14,Utilities,404469,55.9,0.33,Equity Offering,
MSCI Std,AWK US,2023-03-01,2023-03-03,Upweight,138.14,Utilities,275000,38,0.23,Equity Offering,
MSCI SC,BRSP US,2023-03-01,2023-03-03,Upweight,6.34,Financials,386895,2.5,0.36,Equity Offering,
MSCI SC,HLMN US,2023-03-01,2023-03-03,Upweight,8.53,Industrials,1020999,8.7,0.69,Equity Offering,
MSCI SC,TVTX US,2023-03-01,2023-03-03,Upweight,21.74,Health Care,159843,3.5,0.09,Equity Offering,
MSCI SC,TSVT US,2023-03-01,2023-03-03,Upweight,11.01,Health Care,118302,1.3,0.15,Equity Offering,
SP500,AWK US,2023-03-01,2023-03-02,Upweight,138.14,Utilities,1934844,267.3,1.6,Equity Offering,
